Date,Open,High,Low,Close,SSC,plot_dowPeak,plot_dowTrough,last_dow_profit,ATR20,LDV4,LWV4,MVF
19/04/2023,60448,60509,59653,60288,nan,nan,58405,-1513,731.85,1,1,1.05328
18/04/2023,60229,60650,60111,60488,nan,nan,58405,-1513,747.6,0,1,0.623264
17/04/2023,60351,60625,59871,60180,nan,nan,58405,-1513,781.8,0,1,0.51346
14/04/2023,61038,61170,60088,60329,nan,nan,58405,-1513,816.85,0,1,0.399476
13/04/2023,60731,61371,60693,61238,nan,nan,58405,-1513,793.35,0,1,0.88997
12/04/2023,60779,61070,60360,60628,nan,nan,58405,-1513,835.85,1,1,0.44204
11/04/2023,60170,60599,60170,60505,nan,nan,58405,-1513,825.7,1,1,0.553673
10/04/2023,60402,60417,59912,60063,nan,nan,58405,-1513,875.4,1,1,0.251403
6/04/2023,60679,60836,60330,60511,nan,nan,58405,-1513,891.45,0,1,0.299119
5/04/2023,60779,60822,60569,59837,nan,nan,58405,-1513,873,0,0,-1.22332
4/04/2023,61399,61399,59610,60620,61399,59975,58405,-1513,873.45,0,0,1.66612
3/04/2023,59200,59900,59040,59716,nan,59975,nan,2480,822.45,1,0,1.13202
31/03/2023,59425,59650,59310,59402,nan,59975,nan,2480,792.5,1,0,0.154877
30/03/2023,59000,59400,58850,59316,nan,59975,nan,2480,791.45,1,0,0.785623
29/03/2023,58918,59074,58747,58941,nan,59975,nan,2480,774.95,1,0,0.329143
28/03/2023,58718,59232,58500,59042,nan,59975,nan,2480,778.25,0,0,0.917991
27/03/2023,59300,59310,58405,58526,58405,59975,58462,2480,774.95,0,0,0.206746
24/03/2023,59490,59975,59190,59273,59975,nan,58462,-28,740.05,0,0,0.14003
23/03/2023,59231,59618,58930,59565,nan,nan,54771,-28,721.3,0,0,1.06606
22/03/2023,58563,58810,58462,58756,58462,nan,54771,-28,706.8,0,0,0.500374
21/03/2023,59594,59705,58534,58579,nan,nan,54771,-28,707.8,0,0,0.0768193
20/03/2023,59418,60455,59232,59506,60455,nan,54771,-28,664.6,0,0,0.460458
17/03/2023,58269,59461,58143,59383,nan,nan,54771,-28,611.3,0,0,2.08814
16/03/2023,57955,58525,57845,58006,nan,nan,54771,-28,568.35,0,1,0.277557
15/03/2023,57380,58661,57068,58336,nan,nan,54771,-28,576.35,0,1,2.17361
14/03/2023,57483,57738,57231,57483,nan,nan,54771,-28,522.75,0,1,0.43839
13/03/2023,56667,57680,56353,57642,nan,nan,54771,-28,519.9,0,1,2.23622
