date,open,high,low,close,volume,oi,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-03-13,99481.0,101336.0,98686.0,100545.0,15331,23120,DB,,,,,1.8489233676463275,0,,,,,,-1.0,96355.0,,96355.0,,
2025-03-14,101999.0,101999.0,100063.0,100738.0,5880,22965,DB,101999.0,101999.0,,high,0.670054994143223,0,,,,,,-1.0,96355.0,,96355.0,,
2025-03-17,100358.0,100786.0,99710.0,100536.0,7199,22872,DB,99710.0,,99710.0,low,0.8215962441314555,1,100358.0,101980.0,97147.0,97884.0,0.0,-1.0,96355.0,,99710.0,,
2025-03-18,100964.0,101980.0,100854.0,101269.0,9610,23220,DB,101980.0,101980.0,,high,0.40979964253621537,1,,,,,,-1.0,99710.0,,99710.0,,
2025-03-19,101300.0,101469.0,99737.0,99924.0,10226,22417,DB,,,,,0.18714222809335096,1,,,,,,-1.0,99710.0,,99710.0,,
2025-03-20,100499.0,100767.0,98518.0,99392.0,12182,21071,DB,,,,,0.8793464262717321,0,,,,,,-1.0,99710.0,101980.0,,99710.0,99710.0
2025-03-21,99000.0,99000.0,97147.0,97884.0,14899,19258,DB,97147.0,,97147.0,low,0.7529320420089085,0,,,,,,1.0,101980.0,101980.0,,,
2025-03-24,98179.0,98480.0,97370.0,97493.0,7417,18778,ISB,,,,,0.12616290400336436,0,98179.0,102040.0,97370.0,100457.0,1.0,1.0,101980.0,101980.0,,,
2025-03-25,97789.0,99680.0,97739.0,99153.0,11272,19303,DB,,,,,1.4260788881829092,1,,,,,,1.0,101980.0,101980.0,,,
2025-03-26,99273.0,100120.0,99065.0,99486.0,8537,19508,DB,,,,,0.42317512011740344,0,,,,,,1.0,101980.0,101980.0,,,
2025-03-27,99744.0,101543.0,99480.0,101313.0,16091,22404,DB,,,,,1.8092446181635131,0,,,,,,1.0,101980.0,101980.0,,,
2025-03-28,101689.0,102040.0,100184.0,100457.0,13392,21711,DB,102040.0,102040.0,,high,0.2717580656400251,0,,,,,,1.0,101980.0,,97147.0,101980.0,101980.0
2025-03-31,100547.0,100879.0,99010.0,100065.0,8615,20528,DB,99010.0,,99010.0,low,1.054314695447959,0,100547.0,100975.0,86223.0,87211.0,0.0,-1.0,97147.0,,99010.0,,
2025-04-01,100398.0,100975.0,99055.0,99461.0,14152,19363,DB,100975.0,100975.0,,high,0.4082001990730034,1,,,,,,-1.0,99010.0,,99010.0,,
2025-04-02,99666.0,100374.0,99326.0,99753.0,12638,19339,ISB,,,,,0.428057301534791,1,,,,,,-1.0,99010.0,,99010.0,,
2025-04-03,99658.0,99658.0,93875.0,94399.0,47616,21514,DB,,,,,3.421775496136871,0,,,,,,-1.0,99010.0,100975.0,,99010.0,99010.0
2025-04-04,94100.0,94100.0,86223.0,87211.0,48741,24277,DB,86223.0,,86223.0,low,14.408664059242787,0,,,,,,1.0,100975.0,100975.0,,,
2025-04-07,88884.0,90426.0,87678.0,88248.0,37160,22649,ISB,,,,,12.964323294089619,0,88884.0,94894.0,87678.0,94286.0,0.0,1.0,100975.0,100975.0,,,
2025-04-08,88898.0,90475.0,88370.0,88744.0,17928,22840,ISB,,,,,12.27739284083464,0,,,,,,1.0,100975.0,100975.0,,,
2025-04-09,89005.0,91650.0,88525.0,91144.0,25313,20396,ISB,,,,,12.123528360698048,1,,,,,,1.0,100975.0,100975.0,,,
