date,open,high,low,close
2019-01-14,27465,27490,27301,27356.8
2019-01-11,27675,27700,27502.5,27561.5
2019-01-10,27720.3,27740,27587.1,27641.4
2019-01-09,27752.2,27784.4,27451.4,27751.5
2019-01-08,27388.4,27632.7,27292,27602.6
2019-01-07,27555,27586.8,27375,27403
2019-01-04,27169,27431,27058,27361.7
2019-01-03,27260,27319.4,27062.3,27097.5
2019-01-02,27410.3,27523,27175.1,27268.5
2019-01-01,27300.2,27532,27135,27505.7
2018-12-31,27400,27429.5,27242.1,27318.1
2018-12-28,27155,27350,27051,27278.7
2018-12-27,27350,27368.7,27001,27030.5
2018-12-26,26700,27070,26439.6,27031.7
2018-12-24,26925,26982.6,26737.1,26791.2
2018-12-21,27300,27399,26888.6,26942.7
2018-12-20,27189.4,27371.5,27155,27340.5
2018-12-19,27301,27425,27271,27358.2
2018-12-18,26950,27278.8,26926.4,27252.9
2018-12-17,26988.8,27129.2,26912.2,27091
2018-12-14,26853,26948,26770,26879.9
2018-12-13,26867.7,27029,26785.8,26883
2018-12-12,26349.9,26779.5,26297,26758.3
2018-12-11,25800,26295,25706.4,26231.1
2018-12-10,26251.2,26453.5,26180.1,26211
2018-12-07,26380,26735.9,26335.2,26660
2018-12-06,26485.5,26494.4,26234.1,26284.7
2018-12-05,26670,26745,26561.3,26643.8
2018-12-04,26903,26925,26751.2,26813.3
2018-12-03,27055.5,27065.5,26883.4,26960.4
2018-11-30,26957.5,27034.1,26841,26918.5
2018-11-29,26602,27009.1,26530.9,26922.8
2018-11-28,26467.8,26548,26381,26420.4
2018-11-27,26300.2,26469.9,26239.8,26426.8
2018-11-26,26075,26386,26025,26363.8
2018-11-22,26310.1,26339.2,25956.9,26003.5
2018-11-21,26050,26409.7,26050,26332.3
2018-11-20,26240,26262.8,26080.8,26157.9
2018-11-19,26355.1,26395,26207.7,26319
2018-11-16,26202.2,26333.7,26145,26253.9
2018-11-15,25960,26256,25905.5,26195.8
2018-11-14,25984.5,26080,25811.2,25981.5
2018-11-13,25480,25855.1,25429.2,25830.8
2018-11-12,25850.2,25980,25567.5,25599.5
2018-11-09,25730,25880,25630.1,25848.8
2018-11-07,25880,25880,25732.2,25762.2
2018-11-06,25824.7,25939.7,25616.9,25683.2
2018-11-05,25700.2,25873,25573,25805.8
2018-11-02,25548,25898,25515.4,25750.4
2018-11-01,25250,25450,25179,25377.7
2018-10-31,24875,25258,24625,25208.4
2018-10-30,25050.4,25214,24767.4,24912.9
2018-10-29,24683.7,25089,24471.2,25043.2
2018-10-26,24875,24906.2,24444,24502.5
2018-10-25,24940,25097.8,24820,24952.9
2018-10-24,25350,25350,24840,25095.9
2018-10-23,24799.8,25069.9,24770,24978.5
2018-10-22,25475,25495.3,24966.7,25031.2
2018-10-19,24960.2,25319.7,24860.1,25076.8
2018-10-17,25875,25892.9,25080.4,25177.5
2018-10-16,25356.2,25704.8,25317.7,25622.5
2018-10-15,25399,25446,25130.5,25366.2
2018-10-12,25037,25514.5,25000,25407
2018-10-11,24600.4,24997.2,24510,24827.4
2018-10-10,24610,25361.2,24586,25305.5
2018-10-09,24762.4,24842,24510,24563.5
2018-10-08,24444.7,24816.8,24285,24712.7
2018-10-05,24700,25150,24272.4,24519.7
2018-10-04,24780,24967,24620,24862.2
2018-10-03,25400,25577,25109.9,25163.7
2018-10-01,25085,25560.2,24861.4,25508.9
2018-09-28,25325.2,25530.5,25050.2,25214.7
2018-09-27,25155.5,25444,25000,25029.9
2018-09-26,25620,25620,25200.5,25367.4
2018-09-25,24952.4,25430,24706.8,25343.5
2018-09-24,25749.9,25750,24941,25016.8
2018-09-21,26443,26710.4,25228,25660
2018-09-19,26585,26670,26333.4,26380.2
2018-09-18,26819.9,26998,26514,26553.1
2018-09-17,27049.8,27050,26809,26906.7
2018-09-14,27202,27290,27063.2,27238.7
2018-09-12,26980,27028.5,26706,26978.8
2018-09-11,27365.5,27444,26914.7,26950.6
2018-09-10,27485,27494.4,27270,27338.2
2018-09-07,27560,27636,27338.3,27593
2018-09-06,27555,27669.9,27385,27578.2
2018-09-05,27595,27649.8,27307.3,27534.7
2018-09-04,27969,28039,27550.1,27615.5
2018-09-03,28285.2,28300,27961.5,28014.5
2018-08-31,28160,28309.2,28108,28216.7
2018-08-30,28343.2,28343.2,28124.1,28221.9
2018-08-29,28250,28397.7,28190.3,28250.5
2018-08-28,28360.5,28408.8,28160,28312.2
2018-08-27,28034.8,28290.9,28025.2,28269
2018-08-24,28010.4,28176,27861.2,27908.8
2018-08-23,28336.4,28336.4,28016,28099
2018-08-21,28340.2,28360.7,28189.5,28279.4
2018-08-20,28290,28377.6,28220.4,28331.5
2018-08-17,28011.4,28209.9,28005,28169.5
2018-08-16,27889.5,28049.3,27836.8,27907.2
2018-08-14,27905,28097.9,27904.3,28077.5
2018-08-13,27890,27990.5,27827,27870.7
2018-08-10,28343,28380,28150,28166.5
2018-08-09,28224.9,28386,28177.9,28351.7
