date,open,high,low,close,volume,oi,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2020-09-10,11341.15,11468.0,11331.35,11455.35,14155200,9996900,DB,,,,,1.0824636523545765,0,,,,,,1.0,11447.25,,11202.0,11447.25,11447.25
2020-09-11,11430.4,11487.4,11415.25,11467.1,9980250,10699500,DB,,,,,0.4521631449974306,0,,,,,,-1.0,11202.0,,11202.0,,
2020-09-14,11518.55,11568.95,11395.0,11451.95,11396325,11149125,OSB,,,,,0.49729522046464336,0,11518.55,11626.9,11395.0,11515.25,1.0,-1.0,11202.0,,11202.0,,
2020-09-15,11472.95,11542.25,11451.9,11527.4,9637800,11309175,ISB,,,,,0.6549612228256155,1,,,,,,-1.0,11202.0,,11202.0,,
2020-09-16,11518.9,11626.9,11511.05,11616.4,8589975,11810175,DB,11626.9,11626.9,,high,0.9069074756378944,0,,,,,,-1.0,11202.0,,11202.0,,
2020-09-17,11521.0,11578.0,11483.05,11522.4,10666725,11638800,DB,,,,,0.34150871346247624,0,,,,,,-1.0,11202.0,,11202.0,,
2020-09-18,11575.6,11599.0,11455.5,11515.25,12753975,9894300,OSB,,,,,0.5188771411823451,1,,,,,,-1.0,11202.0,,11202.0,,
2020-09-21,11491.05,11527.0,11225.45,11256.1,15068025,8230875,DB,,,,,3.8525941628658855,0,11491.05,11527.0,10800.0,11042.2,0.0,-1.0,11202.0,,11202.0,,
2020-09-22,11282.3,11291.85,11103.0,11162.05,17122575,6706575,DB,,,,,4.901393974433096,0,,,,,,-1.0,11202.0,11626.9,,11202.0,11202.0
2020-09-23,11237.9,11245.0,11028.3,11147.65,14115450,5048400,DB,,,,,5.541208967688065,0,,,,,,1.0,11626.9,11626.9,,,
2020-09-24,11012.9,11020.0,10800.0,10811.2,13005375,3490425,DB,10800.0,,10800.0,low,7.496627481210252,0,,,,,,1.0,11626.9,11626.9,,,
2020-09-25,10906.65,11077.45,10857.35,11042.2,16284300,7815825,DB,,,,,6.090472689529902,0,,,,,,1.0,11626.9,11626.9,,,
2020-09-28,11123.9,11249.0,11090.0,11238.0,11887350,8543775,DB,,,,,4.0781905462094015,0,11123.9,11447.0,11090.0,11435.55,0.0,1.0,11626.9,11626.9,,,
2020-09-29,11272.0,11298.0,11186.0,11234.7,13512450,8638575,DB,,,,,3.2478484625697357,0,,,,,,1.0,11626.9,11626.9,,,
2020-09-30,11249.95,11294.8,11195.0,11256.85,11087175,9027225,ISB,,,,,3.013133728384788,0,,,,,,1.0,11626.9,11626.9,,,
2020-10-01,11356.7,11447.0,11344.35,11435.55,10397400,9310650,DB,,,,,0.797513018613,0,,,,,,1.0,11626.9,11626.9,,,
2020-10-05,11460.05,11587.9,11450.15,11517.65,10389675,9424350,DB,,,,,0.5860570515686794,0,11460.05,11949.95,11450.15,11929.8,0.0,1.0,11626.9,11626.9,,,
2020-10-06,11582.3,11683.75,11566.25,11669.65,10437450,10029300,DB,,,,,0.88605913630657,0,,,,,,1.0,11626.9,,10800.0,11626.9,11626.9
2020-10-07,11676.15,11779.0,11638.3,11750.9,11250000,10392000,DB,,,,,0.9582244764230856,0,,,,,,-1.0,10800.0,,10800.0,,
2020-10-08,11823.2,11914.5,11795.0,11831.8,11763900,11063700,DB,,,,,0.31102621748169573,0,,,,,,-1.0,10800.0,,10800.0,,
2020-10-09,11864.6,11949.95,11815.8,11929.8,10774950,11436450,DB,,,,,0.9555902026857115,0,,,,,,-1.0,10800.0,,10800.0,,
2020-10-12,11950.0,12014.3,11867.5,11938.35,10426500,11343825,DB,12014.3,12014.3,,high,0.5934655961669776,0,11950.0,12014.3,11663.2,11765.15,0.0,-1.0,10800.0,,10800.0,,
2020-10-13,11921.65,11988.8,11884.4,11946.1,8482725,11511150,ISB,,,,,0.5164865520965062,1,,,,,,-1.0,10800.0,,10800.0,,
2020-10-14,11902.7,12003.0,11817.15,11982.25,12041700,11320875,DB,,,,,1.3778714348306902,1,,,,,,-1.0,10800.0,,10800.0,,
